t;code1;code2;code3;N;log10N
0;r111;r11;r1;4376.3881;3.6411158284567
1.5;r111;r11;r1;8349.0113;3.92163504885156
3;r111;r11;r1;78535.3636;4.89506525875804
4.5;r111;r11;r1;86695.135;4.93799472721167
6;r111;r11;r1;513407.7592;5.7104624279355
7.5;r111;r11;r1;551348.0079;5.74142580974447
9;r111;r11;r1;813694.9674;5.91046162994772
10.5;r111;r11;r1;876287.1958;5.94264646588238
12;r111;r11;r1;986518.1301;5.99410507106822
13.5;r111;r11;r1;921327.2094;5.9644138972973
15;r111;r11;r1;873060.9374;5.94104455739738
0;r112;r11;r1;3725.326;3.57116428347522
1.5;r112;r11;r1;11897.8107;4.07546705480584
3;r112;r11;r1;147937.5408;5.17007839504815
4.5;r112;r11;r1;92492.6815;4.96610737046976
6;r112;r11;r1;527867.8175;5.72252518519055
7.5;r112;r11;r1;572977.8954;5.75813786788192
9;r112;r11;r1;760773.6036;5.88125543556745
10.5;r112;r11;r1;889240.4457;5.94901920767614
12;r112;r11;r1;999666.1289;5.99985497741283
13.5;r112;r11;r1;1035629.5068;6.01520441570824
15;r112;r11;r1;934279.0467;5.97047660893048
0;r121;r12;r1;3254.2276;3.51244792412862
1.5;r121;r12;r1;9969.3917;3.99866865987706
3;r121;r12;r1;108118.7375;5.03390096580966
4.5;r121;r12;r1;76749.0039;4.88507274762101
6;r121;r12;r1;505645.349;5.70384601689075
7.5;r121;r12;r1;515148.7748;5.71193267126219
9;r121;r12;r1;715304.2573;5.85449080985695
10.5;r121;r12;r1;899160.7736;5.95383735229454
12;r121;r12;r1;854600.6635;5.93176322566147
13.5;r121;r12;r1;947585.2554;5.97661829440168
15;r121;r12;r1;986264.5705;5.99399343227933
0;r122;r12;r1;4468.3476;3.65014695022916
1.5;r122;r12;r1;13867.8069;4.14200778576426
3;r122;r12;r1;150009.2434;5.17611802061522
4.5;r122;r12;r1;140867.3932;5.14881047790627
6;r122;r12;r1;1041989.1694;6.01786320486153
7.5;r122;r12;r1;669091.0417;5.82548521525336
9;r122;r12;r1;880068.9312;5.94451668949946
10.5;r122;r12;r1;917675.0084;5.9626889044604
12;r122;r12;r1;1017439.8377;6.00750873836174
13.5;r122;r12;r1;929631.8183;5.96831097980059
15;r122;r12;r1;966882.8649;5.98537386373255
0;r211;r21;r2;3752.7773;3.57435279296336
1;r211;r21;r2;4449.2777;3.6482895129213
2;r211;r21;r2;14548.0154;4.16280375211126
3;r211;r21;r2;54161.5225;4.73369086402375
4;r211;r21;r2;119579.2579;5.07765585389317
5;r211;r21;r2;132525.4448;5.12229927053937
6;r211;r21;r2;299982.9366;5.4770965522156
7;r211;r21;r2;296801.316;5.47246582224806
8;r211;r21;r2;422642.0616;5.62597271612323
9;r211;r21;r2;391897.5868;5.59317258921765
10;r211;r21;r2;496547.854;5.69596110927985
11;r211;r21;r2;492709.2856;5.69259074706655
12;r211;r21;r2;519601.066;5.71567003338914
0;r212;r21;r2;2346.404;3.37040279033068
1;r212;r21;r2;4496.5523;3.65287964911594
2;r212;r21;r2;18801.9321;4.27420247996867
3;r212;r21;r2;73278.4618;4.86497634441002
4;r212;r21;r2;161463.8779;5.20807537878252
5;r212;r21;r2;125140.1016;5.097396503241
6;r212;r21;r2;302898.755;5.48129748826273
7;r212;r21;r2;317912.8777;5.50230812024184
8;r212;r21;r2;415818.1752;5.61890346820025
9;r212;r21;r2;383894.6597;5.58421207075519
10;r212;r21;r2;499835.2304;5.69882686369337
11;r212;r21;r2;536255.6749;5.72937190111766
12;r212;r21;r2;558002.101;5.7466358341544
0;r221;r22;r2;4630.2774;3.66560701038738
1;r221;r22;r2;7036.4338;3.84735260610361
2;r221;r22;r2;22252.4625;4.34737807783317
3;r221;r22;r2;65462.1849;4.81599049645286
4;r221;r22;r2;88313.0199;4.94602473589793
5;r221;r22;r2;119641.6001;5.07788221270058
6;r221;r22;r2;675811.4795;5.82982556453441
7;r221;r22;r2;262380.3437;5.41893129662444
8;r221;r22;r2;317921.4474;5.5023198269814
9;r221;r22;r2;374923.3561;5.57394249592808
10;r221;r22;r2;399132.9602;5.60111759308577
11;r221;r22;r2;411600.9388;5.61447635665209
12;r221;r22;r2;444452.7134;5.64782556192745
0;r222;r22;r2;5920.7242;3.77237483118708
1;r222;r22;r2;5041.9057;3.70259471870008
2;r222;r22;r2;22916.5675;4.3601495684679
3;r222;r22;r2;94504.0194;4.9754502801084
4;r222;r22;r2;192149.2123;5.28363860844926
5;r222;r22;r2;161581.7349;5.20839226683174
6;r222;r22;r2;574136.9715;5.75901551412323
7;r222;r22;r2;312245.7131;5.49449648454883
8;r222;r22;r2;366869.2463;5.56451130749866
9;r222;r22;r2;369799.8969;5.56796678574212
10;r222;r22;r2;443233.0372;5.64663212387498
11;r222;r22;r2;412703.9351;5.61563860986135
12;r222;r22;r2;389705.0137;5.59073599318873
0;r311;r31;r3;5146.296;3.71149476195004
1;r311;r31;r3;7808.7432;3.89258114076246
2;r311;r31;r3;31795.4408;4.50236485025628
3;r311;r31;r3;155174.3739;5.19082000176278
4;r311;r31;r3;220649.1308;5.34370222097647
5;r311;r31;r3;568277.3182;5.75456032228235
6;r311;r31;r3;387243.2954;5.58798390726794
7;r311;r31;r3;459002.1885;5.66181475623706
8;r311;r31;r3;582555.1055;5.76533701275838
9;r311;r31;r3;592683.7901;5.77282304944858
10;r311;r31;r3;534932.8327;5.72829925450903
11;r311;r31;r3;534834.799;5.72821965685846
12;r311;r31;r3;579303.4205;5.76290609280061
0;r312;r31;r3;7258.0219;3.86081827428543
1;r312;r31;r3;4872.348;3.6877382995514
2;r312;r31;r3;8588.2096;3.93390263509032
3;r312;r31;r3;33801.2695999999;4.52893301299715
4;r312;r31;r3;56398.8275;4.75127007533843
5;r312;r31;r3;327501.5297;5.51521333284297
6;r312;r31;r3;349825.0924;5.5438509575155
7;r312;r31;r3;449749.6384;5.65297082284372
8;r312;r31;r3;519144.9882;5.71528866571263
9;r312;r31;r3;535415.6555;5.72869106576361
10;r312;r31;r3;509024.2611;5.70673848216143
11;r312;r31;r3;465847.97;5.66824420732797
12;r312;r31;r3;550185.2119;5.74050891306832
0;r321;r32;r3;3877.6501;3.58856861792086
1;r321;r32;r3;5843.9265;3.76670474510532
2;r321;r32;r3;12792.7327;4.10696332553916
3;r321;r32;r3;28369.3953;4.45285007881058
4;r321;r32;r3;49228.7628;4.69221892137331
5;r321;r32;r3;299480.8084;5.47636899676529
6;r321;r32;r3;399248.1803;5.60124294538041
7;r321;r32;r3;355864.0032;5.55128405992783
8;r321;r32;r3;543613.0018;5.73528983537184
9;r321;r32;r3;452526.364;5.65564388609633
10;r321;r32;r3;428419.6905;5.63186942312848
11;r321;r32;r3;493346.0805;5.69315168220088
12;r321;r32;r3;503147.233;5.70169508868015
0;r322;r32;r3;7823.2457;3.89338697008733
1;r322;r32;r3;7062.0959;3.84893361078556
2;r322;r32;r3;23750.654;4.37567557289481
3;r322;r32;r3;83094.8231;4.91957396759714
4;r322;r32;r3;65386.8939;4.81549070738678
5;r322;r32;r3;303030.3141;5.48148607598689
6;r322;r32;r3;335137.7487;5.52522334794506
7;r322;r32;r3;395893.9885;5.59757890720535
8;r322;r32;r3;508590.0313;5.70636784346488
9;r322;r32;r3;474244.6325;5.67600242424426
10;r322;r32;r3;433791.0119;5.63728054923956
11;r322;r32;r3;479174.4258;5.68049363110428
12;r322;r32;r3;510493.2121;5.70798997175669
