t;code1;code2;code3;N;log10N
16.5;r311;r31;r3;569532.7329;5.75551868944993
0;r312;r31;r3;11011.1288;4.04183184272129
1.5;r312;r31;r3;34904.9252;4.54288671166595
3;r312;r31;r3;154897.4594;5.1900442945984
4.5;r312;r31;r3;344789.4963;5.5375540269658
6;r312;r31;r3;349214.0537;5.54309171304483
7.5;r312;r31;r3;379917.5163;5.57968931739537
9;r312;r31;r3;436141.3241;5.63962723773591
10.5;r312;r31;r3;442170.2997;5.64558956793607
12;r312;r31;r3;457241.7263;5.66014585574547
13.5;r312;r31;r3;497873.9452;5.69711939931835
15;r312;r31;r3;528046.6512;5.72267229273029
16.5;r312;r31;r3;506806.026;5.70484177006892
0;r321;r32;r3;11267.702;4.05183535256054
1.5;r321;r32;r3;45149.5363;4.65465329433091
3;r321;r32;r3;124933.7224;5.09667967997134
4.5;r321;r32;r3;267830.5817;5.42786016455526
6;r321;r32;r3;312863.5323;5.49535494427795
7.5;r321;r32;r3;406127.1576;5.60866203160151
9;r321;r32;r3;399546.7545;5.60156760726268
10.5;r321;r32;r3;432616.5857;5.63610316544961
12;r321;r32;r3;501819.2112;5.70054728344022
13.5;r321;r32;r3;486530.6226;5.68711018028302
15;r321;r32;r3;543782.8421;5.73542550023778
16.5;r321;r32;r3;490132.0175;5.69031307339489
0;r322;r32;r3;11715.5868;4.06876404603752
1.5;r322;r32;r3;46091.9213;4.66362481167403
3;r322;r32;r3;106095.6751;5.02569768061682
4.5;r322;r32;r3;307137.5099;5.4873328589302
6;r322;r32;r3;327788.8973;5.51559423928023
7.5;r322;r32;r3;403864.5202;5.6062357017509
9;r322;r32;r3;396757.6452;5.5985253040121
10.5;r322;r32;r3;409104.3295;5.61183407560693
12;r322;r32;r3;483746.9283;5.68461822034925
13.5;r322;r32;r3;471106.0017;5.6731186370096
15;r322;r32;r3;485634.3822;5.68630942656626
16.5;r322;r32;r3;551510.4556;5.74155375026006
0;rmean;rmean;rmean;11295.2514083333;4.05289590183777
1.5;rmean;rmean;rmean;38212.6663833333;4.58220734271763
3;rmean;rmean;rmean;122011.143083333;5.08639949590926
4.5;rmean;rmean;rmean;318178.044108333;5.50267020783231
6;rmean;rmean;rmean;384605.992325;5.58501604644798
7.5;rmean;rmean;rmean;354456.335075;5.54956274275189
9;rmean;rmean;rmean;446891.3398;5.65020193865339
10.5;rmean;rmean;rmean;445864.191625;5.64920259456505
12;rmean;rmean;rmean;488017.674375;5.68843555098741
13.5;rmean;rmean;rmean;544816.268391667;5.73625006727338
15;rmean;rmean;rmean;540975.588891667;5.73317766834347
16.5;rmean;rmean;rmean;575376.6672;5.75995224630692
