t;code1;code2;code3;N;log10N
0;r111;r11;r1;5525.669;3.74238486614348
1.5;r111;r11;r1;24376.3367;4.38696843998153
3;r111;r11;r1;26003.5446;4.41503255163606
4.5;r111;r11;r1;117071.3479;5.06845061862908
6;r111;r11;r1;301643.5758;5.47949408044201
7.5;r111;r11;r1;701282.0544;5.84589272557385
9;r111;r11;r1;754085.5141;5.877420598119
10.5;r111;r11;r1;939474.3595;5.9728849316642
12;r111;r11;r1;989815.5359;5.99555426610748
13.5;r111;r11;r1;1087476.3615;6.03641982545961
15;r111;r11;r1;968253.4526;5.98598905426897
16.5;r111;r11;r1;1073614.1107;6.03084821087156
0;r112;r11;r1;5012.8535;3.70008501259803
1.5;r112;r11;r1;10551.0958;4.02329756628582
3;r112;r11;r1;47348.6072;4.67530720838151
4.5;r112;r11;r1;99708.6554;4.99873285970885
6;r112;r11;r1;62784.5288;4.79785263920588
7.5;r112;r11;r1;104391.1985;5.01866388368523
9;r112;r11;r1;400603.6534;5.60271490562712
10.5;r112;r11;r1;472304.6774;5.67422224656961
12;r112;r11;r1;659770.4049;5.81939283064417
13.5;r112;r11;r1;634612.2475;5.80250844937539
15;r112;r11;r1;682185.9272;5.83390275611151
16.5;r112;r11;r1;604158.4834;5.78115087808757
0;r121;r12;r1;6597.9663;3.81941009299753
1.5;r121;r12;r1;26544.0953;4.42396792790986
3;r121;r12;r1;24336.7371;4.38626235062143
4.5;r121;r12;r1;99756.7305;4.99894220681895
6;r121;r12;r1;69718.8796;4.84335039927205
7.5;r121;r12;r1;163513.6383;5.21355398202023
9;r121;r12;r1;218732.9542;5.33991421856144
10.5;r121;r12;r1;745351.855;5.8723613366562
12;r121;r12;r1;485719.1375;5.68638521516114
13.5;r121;r12;r1;585735.1251;5.76770126838464
15;r121;r12;r1;660870.0581;5.82011607582788
16.5;r121;r12;r1;748298.6091;5.87407493797894
0;r122;r12;r1;4897.2095;3.689948683301
1.5;r122;r12;r1;14281.2245;4.15476544629127
3;r122;r12;r1;36488.39;4.56215470114098
4.5;r122;r12;r1;109553.4568;5.03962608564369
6;r122;r12;r1;80475.4599;4.9056634672646
7.5;r122;r12;r1;219233.8582;5.34090762688305
9;r122;r12;r1;241165.098;5.3823144558612
10.5;r122;r12;r1;757645.5201;5.87946605962558
12;r122;r12;r1;649827.4756;5.81279806996557
13.5;r122;r12;r1;560567.4092;5.7486278447335
15;r122;r12;r1;660662.6901;5.81997978139404
16.5;r122;r12;r1;592480.0948;5.77267376419482
0;r211;r21;r2;15036.1119;4.17713554910959
1.5;r211;r21;r2;66843.8379;4.82506137735154
3;r211;r21;r2;45413.502;4.65718499321638
4.5;r211;r21;r2;91815.769;4.96291727598947
6;r211;r21;r2;176396.0233;5.2464887901023
7.5;r211;r21;r2;260316.4104;5.41550154698561
9;r211;r21;r2;623204.4638;5.79463055537819
10.5;r211;r21;r2;713609.5746;5.85346066839729
12;r211;r21;r2;616861.3284;5.79018754477969
13.5;r211;r21;r2;526584.3394;5.72146793905927
15;r211;r21;r2;519563.6795;5.71563878377117
16.5;r211;r21;r2;503506.2188;5.70200483888933
0;r212;r21;r2;26886.5538;4.42953513983738
1.5;r212;r21;r2;14368.3342;4.15740642090507
3;r212;r21;r2;76525.7678;4.88380769566409
4.5;r212;r21;r2;240844.2991;5.38173637081357
6;r212;r21;r2;278111.4963;5.44421894167415
7.5;r212;r21;r2;359919.1216;5.55620492024214
9;r212;r21;r2;567089.0015;5.75365122437262
10.5;r212;r21;r2;643956.9454;5.80885683164511
12;r212;r21;r2;812334.409;5.909734849544
13.5;r212;r21;r2;729890.5539;5.86325774313308
15;r212;r21;r2;767954.2628;5.88533535544158
16.5;r212;r21;r2;746959.5222;5.87329706799815
0;r221;r22;r2;25704.8763;4.41001551824559
1.5;r221;r22;r2;17776.5811;4.2498482385139
3;r221;r22;r2;84800.0531;4.92839612420282
4.5;r221;r22;r2;98338.5385;4.99272374955002
6;r221;r22;r2;214666.7706;5.33176482290876
7.5;r221;r22;r2;631082.518;5.80008614968628
9;r221;r22;r2;681108.4045;5.83321623926874
10.5;r221;r22;r2;890908.5246;5.94983311447356
12;r221;r22;r2;787621.9705;5.89631782216114
13.5;r221;r22;r2;696024.3522;5.84262443478451
15;r221;r22;r2;705534.1818;5.84851805934835
16.5;r221;r22;r2;775933.5525;5.88982453180178
0;r311;r31;r3;3281.4906;3.51607116453566
1.5;r311;r31;r3;5475.2879;3.73840696005901
3;r311;r31;r3;29921.7831;4.47598747045634
4.5;r311;r31;r3;157831.6886;5.19819420294487
6;r311;r31;r3;122712.0971;5.08888737808813
7.5;r311;r31;r3;196958.7943;5.29437537702479
9;r311;r31;r3;514832.5903;5.71166603112174
10.5;r311;r31;r3;399733.2162;5.6017702378598
12;r311;r31;r3;447406.2009;5.65070199897829
13.5;r311;r31;r3;484225.5133;5.68504766819844
15;r311;r31;r3;487497.1158;5.68797205060717
16.5;r311;r31;r3;497215.5847;5.6965447326871
0;r312;r31;r3;4837.1274;3.68458752596368
1.5;r312;r31;r3;7380.2108;3.86806876669693
3;r312;r31;r3;52800.2578;4.72263604300434
4.5;r312;r31;r3;146229.9094;5.16503621091782
6;r312;r31;r3;229669.0275;5.36110243144756
7.5;r312;r31;r3;673454.0573;5.82830797371653
9;r312;r31;r3;454869.0482;5.65788638604236
10.5;r312;r31;r3;439931.6291;5.64338518691388
12;r312;r31;r3;408912.0762;5.61162993654988
13.5;r312;r31;r3;469022.9985;5.67119413882757
15;r312;r31;r3;445494.9213;5.64884275738758
16.5;r312;r31;r3;511123.0383;5.70852545673506
0;r321;r32;r3;4721.8602;3.6741131247869
1.5;r321;r32;r3;5008.8511;3.69973812144605
3;r321;r32;r3;22570.6245;4.35354357561085
4.5;r321;r32;r3;114279.696;5.05796907642808
6;r321;r32;r3;110461.1392;5.04320951784586
7.5;r321;r32;r3;485298.139;5.68600862590506
9;r321;r32;r3;434207.0664;5.63769688699854
10.5;r321;r32;r3;386804.9691;5.58749204462205
12;r321;r32;r3;433535.6159;5.63702478152034
13.5;r321;r32;r3;441706.0289;5.64513332703773
15;r321;r32;r3;463160.002;5.66573104713403
16.5;r321;r32;r3;461557.0435;5.66422538281878
0;r322;r32;r3;3547.9048;3.54997195800598
1.5;r322;r32;r3;7336.7031;3.86550094450197
3;r322;r32;r3;39748.9743;4.59932592641142
4.5;r322;r32;r3;98367.2611;4.99285057922967
