t;code1;code2;code3;N;log10N
6;r322;r32;r3;131359.3058;5.11846084464727
7.5;r322;r32;r3;339544.7899;5.53089707087981
9;r322;r32;r3;441761.1669;5.64518753647366
10.5;r322;r32;r3;402774.19;5.60506163293492
12;r322;r32;r3;420797.2678;5.6240729113186
13.5;r322;r32;r3;441052.0945;5.64448988882772
15;r322;r32;r3;491398.3562;5.69143369936738
16.5;r322;r32;r3;468115.7869;5.67035328767293
0;rmean;rmean;rmean;9640.87484545455;3.98411644503503
1.5;rmean;rmean;rmean;18176.5962181818;4.25951255974063
3;rmean;rmean;rmean;44178.0219545455;4.64520626668577
4.5;rmean;rmean;rmean;124890.668390909;5.09652998987345
6;rmean;rmean;rmean;161636.209445455;5.20853865718619
7.5;rmean;rmean;rmean;375908.598172727;5.57508225946285
9;rmean;rmean;rmean;484696.269209091;5.68546967689598
10.5;rmean;rmean;rmean;617499.587363636;5.79063667171995
12;rmean;rmean;rmean;610236.492963636;5.78549817547754
13.5;rmean;rmean;rmean;605172.456727273;5.78187915371406
15;rmean;rmean;rmean;622961.331581818;5.79446108999491
16.5;rmean;rmean;rmean;634814.731354545;5.8026469963307
