t;code1;code2;code3;N;log10N
0;r111;r11;r1;7277.7511;3.86199719857847
1;r111;r11;r1;33833.4766;4.52934662653817
2;r111;r11;r1;179362.13;5.25373075270938
3;r111;r11;r1;116996.9045;5.06817437134998
4;r111;r11;r1;366910.3055;5.56455991006319
5;r111;r11;r1;353230.2316;5.54805786606973
6;r111;r11;r1;371018.6784;5.56939577409444
7;r111;r11;r1;504027.5582;5.70245428257051
8;r111;r11;r1;515151.0349;5.71193457662789
9;r111;r11;r1;608351.5646;5.78415462933837
10;r111;r11;r1;627848.9612;5.79785518003219
11;r111;r11;r1;635739.0224;5.80327886974863
12;r111;r11;r1;641470.083;5.80717640647714
0;r112;r11;r1;8873.5054;3.94809521793056
1;r112;r11;r1;28262.5094;4.45121071979808
2;r112;r11;r1;187911.6346;5.27395367039404
3;r112;r11;r1;130452.518;5.11545246628754
4;r112;r11;r1;378746.0094;5.5783480656564
5;r112;r11;r1;327346.1449;5.51500723067572
6;r112;r11;r1;408865.4608;5.61158042476924
7;r112;r11;r1;489100.0273;5.68939768706221
8;r112;r11;r1;521216.9732;5.71701854987838
9;r112;r11;r1;612580.6668;5.7871632862437
10;r112;r11;r1;638085.1438;5.80487863329064
11;r112;r11;r1;640859.7505;5.80676299637005
12;r112;r11;r1;603663.0415;5.78079458754149
0;r121;r12;r1;11069.2804;4.0441193888582
1;r121;r12;r1;28286.2409;4.45157523572629
2;r121;r12;r1;193238.6478;5.28609398982125
3;r121;r12;r1;172091.8656;5.2357603426778
4;r121;r12;r1;230964.183;5.3635446364657
5;r121;r12;r1;245007.1509;5.38917876008327
6;r121;r12;r1;392679.5017;5.59403823121458
7;r121;r12;r1;478752.8152;5.6801113407568
8;r121;r12;r1;542476.433;5.73438087571803
9;r121;r12;r1;593851.9539;5.77367818973201
10;r121;r12;r1;637055.1313;5.80417701818042
11;r121;r12;r1;667320.9268;5.82433474428919
12;r121;r12;r1;658248.3877;5.81838980402748
0;r122;r12;r1;9722.5183;3.98777876926167
1;r122;r12;r1;25149.5877;4.40053086966699
2;r122;r12;r1;174764.3892;5.24245294346144
3;r122;r12;r1;176606.2636;5.24700610240507
4;r122;r12;r1;290747.2434;5.4635156058361
5;r122;r12;r1;314729.1382;5.49793695255308
6;r122;r12;r1;422678.7889;5.62601045437073
7;r122;r12;r1;531772.0713;5.72572552442314
8;r122;r12;r1;554130.7134;5.74361222215138
9;r122;r12;r1;594460.9679;5.77412334426649
10;r122;r12;r1;545688.0475;5.73694444130075
11;r122;r12;r1;620007.3989;5.79239687221159
12;r122;r12;r1;664466.556;5.82247312687368
0;r211;r21;r2;9765.5081;3.98969484458092
1;r211;r21;r2;29142.458;4.46452617923962
2;r211;r21;r2;129066.0152;5.11081190180079
3;r211;r21;r2;172098.5048;5.23577709717282
4;r211;r21;r2;447626.7531;5.65091603490835
5;r211;r21;r2;431212.5196;5.63469136144182
6;r211;r21;r2;337189.3454;5.52787384321518
7;r211;r21;r2;390051.145;5.59112155711612
8;r211;r21;r2;406716.5838;5.60929188104976
9;r211;r21;r2;491889.4662;5.69186752225399
10;r211;r21;r2;497808.1657;5.69706201619657
11;r211;r21;r2;512514.4852;5.70970614436883
12;r211;r21;r2;382641.6465;5.58279223662913
0;r212;r21;r2;8883.2052;3.94856969432762
1;r212;r21;r2;31490.6041;4.4981809920046
2;r212;r21;r2;165496.0182;5.21878754920194
3;r212;r21;r2;142451.3289;5.15366650504089
