t;code1;code2;code3;N;log10N
4;r212;r21;r2;515632.8218;5.71234055389655
5;r212;r21;r2;436279.6165;5.63976492270865
6;r212;r21;r2;413734.4186;5.61672165139172
7;r212;r21;r2;434595.1516;5.63808487696584
8;r212;r21;r2;468835.03;5.67102005345231
9;r212;r21;r2;453221.4989;5.65631050276281
10;r212;r21;r2;489358.5781;5.68962720558804
11;r212;r21;r2;496450.9034;5.69587630532533
12;r212;r21;r2;547642.6936;5.7384972978844
0;r221;r22;r2;8930.7624;3.95088853525805
1;r221;r22;r2;32812.5046;4.51603938163398
2;r221;r22;r2;165032.4065;5.21756923259102
3;r221;r22;r2;204324.0788;5.31031954956818
4;r221;r22;r2;576254.7716;5.76061453452954
5;r221;r22;r2;370750.2395;5.56908144024929
6;r221;r22;r2;392336.9489;5.59365921036698
7;r221;r22;r2;435139.7987;5.63862880649507
8;r221;r22;r2;500444.3387;5.69935578063707
9;r221;r22;r2;450094.7809;5.65330397708095
10;r221;r22;r2;426677.7804;5.63010002720211
11;r221;r22;r2;553311.412;5.74296962759264
12;r221;r22;r2;538669.8832;5.73132269500821
0;r222;r22;r2;10778.8992;4.03257441059316
1;r222;r22;r2;32032.379;4.50558919430556
2;r222;r22;r2;135376.8964;5.13154455340281
3;r222;r22;r2;151973.9659;5.18176919692931
4;r222;r22;r2;444339.5179;5.64771493949049
5;r222;r22;r2;329788.5578;5.51823558347792
6;r222;r22;r2;393117.4042;5.59452227144843
7;r222;r22;r2;397453.6277;5.59928646529736
8;r222;r22;r2;454471.2632;5.65750642742987
9;r222;r22;r2;456923.1405;5.6598431531027
10;r222;r22;r2;477285.2297;5.67877799468671
11;r222;r22;r2;450058.3832;5.65326885567961
12;r222;r22;r2;522334.6134;5.71794880606011
0;r311;r31;r3;5647.5296;3.75185851583551
1;r311;r31;r3;26875.3944;4.42935484629992
2;r311;r31;r3;184282.0351;5.26548299969427
3;r311;r31;r3;193178.3303;5.28595840800621
4;r311;r31;r3;388073.9446;5.58891448505822
5;r311;r31;r3;407895.0124;5.61054839494592
6;r311;r31;r3;482263.4747;5.68328437090607
7;r311;r31;r3;486658.3207;5.68722415317776
8;r311;r31;r3;699756.3645;5.84494685719845
9;r311;r31;r3;635145.641;5.80287332187504
10;r311;r31;r3;681590.3798;5.83352345202088
11;r311;r31;r3;628932.558;5.79860407746626
12;r311;r31;r3;648378.8189;5.81182881896935
0;r312;r31;r3;8009.2837;3.90359367725181
1;r312;r31;r3;29674.3918;4.47238182651085
2;r312;r31;r3;139530.4721;5.14466906366484
3;r312;r31;r3;199006.3416;5.29886691599767
4;r312;r31;r3;411340.9754;5.61420197355913
5;r312;r31;r3;386918.7767;5.58761980601829
6;r312;r31;r3;492313.2428;5.69224151807544
7;r312;r31;r3;506152.5625;5.70428143989399
8;r312;r31;r3;625363.1347;5.79613227590234
9;r312;r31;r3;692601.6028;5.84048349224721
10;r312;r31;r3;598378.7827;5.77697618592647
11;r312;r31;r3;620981.8496;5.79307890656344
12;r312;r31;r3;650291.6052;5.81310814761262
0;r321;r32;r3;8271.4601;3.91758217912958
1;r321;r32;r3;34190.4378;4.53390466186436
2;r321;r32;r3;108757.7927;5.03646038475642
3;r321;r32;r3;206260.4554;5.31441597228833
4;r321;r32;r3;413810.9809;5.61680201093339
5;r321;r32;r3;504276.9743;5.70266913836982
6;r321;r32;r3;440109.3328;5.64356057815296
7;r321;r32;r3;446361.4974;5.64968672583121
8;r321;r32;r3;621799.3618;5.79365027195793
9;r321;r32;r3;644571.5627;5.80927114133316
10;r321;r32;r3;578933.746;5.76262886529394
11;r321;r32;r3;572425.7616;5.757719170631
12;r321;r32;r3;637008.1391;5.80414498138344
0;r322;r32;r3;19154.6555;4.28227434552325
1;r322;r32;r3;23566.217;4.37228987238918
2;r322;r32;r3;128245.6778;5.10804273722057
3;r322;r32;r3;193005.5707;5.28556984418578
4;r322;r32;r3;439486.852;5.64294588694276
5;r322;r32;r3;359195.6878;5.55533111425388
6;r322;r32;r3;488123.9285;5.68853009788555
7;r322;r32;r3;463836.8675;5.66636526503391
8;r322;r32;r3;674582.0565;5.82903478501998
9;r322;r32;r3;549889.0392;5.74027506308541
10;r322;r32;r3;615326.5979;5.78910568816058
11;r322;r32;r3;598173.0156;5.7768268175212
12;r322;r32;r3;525902.1061;5.72090491005243
