t;code1;code2;code3;N;log10N
0;r111;r11;r1;3947.1495;3.59628357579898
1;r111;r11;r1;3293.5447;3.51766356206373
2;r111;r11;r1;6644.2521;3.82244610234073
3;r111;r11;r1;12079.6109;4.08205294531951
4;r111;r11;r1;30390.0092;4.4827308315544
5;r111;r11;r1;207957.8219;5.31797526008985
6;r111;r11;r1;622387.2341;5.79406067617832
7;r111;r11;r1;401968.4495;5.60419196665218
8;r111;r11;r1;476301.6442;5.67788208070486
9;r111;r11;r1;455839.4024;5.65881186254091
10;r111;r11;r1;451249.478;5.65441671252734
11;r111;r11;r1;423040.3645;5.62638180766646
12;r111;r11;r1;460369.5273;5.663106569164
0;r112;r11;r1;5513.522;3.74142911183127
1;r112;r11;r1;3036.1239;3.48231949053977
2;r112;r11;r1;14996.5124;4.17599027095268
3;r112;r11;r1;11269.5384;4.05190612771972
4;r112;r11;r1;33292.1256;4.52234152441111
5;r112;r11;r1;201853.7437;5.30503680850568
6;r112;r11;r1;683524.1195;5.8347538441137
7;r112;r11;r1;400179.9238;5.6022552971898
8;r112;r11;r1;449858.9728;5.65307638725528
9;r112;r11;r1;516707.5193;5.71324478158967
10;r112;r11;r1;452344.7051;5.65546951106852
11;r112;r11;r1;406556.7729;5.60912120044812
12;r112;r11;r1;424407.2324;5.62778277618276
0;r121;r12;r1;2271.8664;3.35638278854921
1;r121;r12;r1;6319.1684;3.80065992906493
2;r121;r12;r1;15680.0169;4.19534652643342
3;r121;r12;r1;25834.8345;4.41220568376568
4;r121;r12;r1;23606.3346;4.37302855859193
5;r121;r12;r1;203115.0912;5.30774219214632
6;r121;r12;r1;686714.404;5.83677615692109
7;r121;r12;r1;448999.5068;5.6522458639562
8;r121;r12;r1;383303.5856;5.58354288186591
9;r121;r12;r1;445773.578;5.64911432329885
10;r121;r12;r1;441864.5213;5.64528913208457
11;r121;r12;r1;504439.7987;5.7028093437098
12;r121;r12;r1;506286.5701;5.70439640732202
0;r122;r12;r1;6046.5859;3.78151022699803
1;r122;r12;r1;5365.1531;3.72958211950542
2;r122;r12;r1;18886.2166;4.27614496616373
3;r122;r12;r1;26897.8545;4.42971764000347
4;r122;r12;r1;21468.052;4.33179263856607
5;r122;r12;r1;223367.9402;5.34902083935529
6;r122;r12;r1;652557.6329;5.81461887393388
7;r122;r12;r1;341982.4942;5.53400387545109
8;r122;r12;r1;478069.6402;5.67949116471176
9;r122;r12;r1;477720.9191;5.67917425918325
10;r122;r12;r1;490060.4463;5.69024965120297
11;r122;r12;r1;544568.1001;5.73605219749549
12;r122;r12;r1;548676.0964;5.73931604015287
0;r211;r21;r2;2079.5189;3.31796287186537
1;r211;r21;r2;8804.7595;3.94471749781047
2;r211;r21;r2;19633.4289;4.29299615402202
3;r211;r21;r2;79516.736;4.9004585448515
4;r211;r21;r2;168697.1325;5.22710770054994
5;r211;r21;r2;292338.5716;5.46588612061876
6;r211;r21;r2;407920.439;5.61057546634316
7;r211;r21;r2;520548.8659;5.71646150463347
8;r211;r21;r2;521351.8284;5.71713090096629
9;r211;r21;r2;522460.1926;5.71805320618452
10;r211;r21;r2;538947.6452;5.73154657872089
11;r211;r21;r2;383635.4497;5.58391873118309
12;r211;r21;r2;543660.9357;5.73532812825749
0;r212;r21;r2;3732.4831;3.57199784999563
1;r212;r21;r2;9631.6418;3.9837003228365
2;r212;r21;r2;27568.0808;4.44040653299073
3;r212;r21;r2;86180.8586;4.93541081654957
4;r212;r21;r2;113916.4724;5.05658652789974
5;r212;r21;r2;236401.1427;5.37364957147785
6;r212;r21;r2;349746.1758;5.54375297452044
7;r212;r21;r2;421918.2982;5.62522836073377
8;r212;r21;r2;507131.4393;5.70512053520033
9;r212;r21;r2;499525.3556;5.69855753764245
10;r212;r21;r2;528278.6453;5.72286305548002
11;r212;r21;r2;483349.2846;5.68426108013486
12;r212;r21;r2;456005.4287;5.65897001292851
0;r221;r22;r2;4760.7535;3.67767569536629
1;r221;r22;r2;4998.7276;3.69885947101141
2;r221;r22;r2;35774.3735;4.55357203690071
3;r221;r22;r2;118433.4601;5.07347441762219
4;r221;r22;r2;177507.3068;5.24921623478609
5;r221;r22;r2;516393.5479;5.71298080731837
6;r221;r22;r2;454013.4903;5.65706875742936
7;r221;r22;r2;577089.9411;5.7612435044545
8;r221;r22;r2;497444.377;5.69674452606166
9;r221;r22;r2;492107.7582;5.69206021184751
10;r221;r22;r2;537137.1773;5.73008521258304
11;r221;r22;r2;595094.7494;5.77458611844381
12;r221;r22;r2;600976.9099;5.77885778631945
0;r222;r22;r2;2672.2411;3.42687563931094
1;r222;r22;r2;8215.6158;3.91464012145566
2;r222;r22;r2;42290.8805;4.62624672729186
3;r222;r22;r2;146710.1896;5.16646027835162
4;r222;r22;r2;173924.1815;5.2403599682127
5;r222;r22;r2;530134.5044;5.72438607169077
6;r222;r22;r2;390918.239;5.59208593370231
7;r222;r22;r2;615912.681;5.78951914585293
8;r222;r22;r2;550633.9914;5.74086301748556
9;r222;r22;r2;519289.8727;5.71540985297558
10;r222;r22;r2;507498.1474;5.70543446121495
11;r222;r22;r2;524821.57;5.72001167609982
12;r222;r22;r2;647337.0347;5.81113045408382
0;r311;r31;r3;4805.4384;3.68173301448443
1;r311;r31;r3;4005.1598;3.60261984847861
2;r311;r31;r3;9665.4968;3.98522418138098
3;r311;r31;r3;26426.8504;4.42204540621122
4;r311;r31;r3;85132.1056;4.93009337507159
5;r311;r31;r3;118618.5092;5.07415246150913
6;r311;r31;r3;223350.0475;5.34898604916956
7;r311;r31;r3;345160.2067;5.53802072039548
8;r311;r31;r3;288854.9396;5.46067979864801
9;r311;r31;r3;329234.8231;5.51750576420834
10;r311;r31;r3;328750.7289;5.51686672440853
11;r311;r31;r3;358237.3877;5.55417090933117
12;r311;r31;r3;399461.1987;5.60147460089941
0;r312;r31;r3;5923.0314;3.77254403498951
1;r312;r31;r3;4222.1334;3.62553195089694
2;r312;r31;r3;11681.8259;4.06751072944753
3;r312;r31;r3;40066.5242;4.60278166870586
4;r312;r31;r3;105606.4486;5.02369043813992
5;r312;r31;r3;120370.1663;5.08051886053644
6;r312;r31;r3;227789.2016;5.35753313240028
7;r312;r31;r3;357363.5603;5.55311026622375
8;r312;r31;r3;333008.8833;5.5224558188418
9;r312;r31;r3;343502.9105;5.5359304211881
10;r312;r31;r3;390248.6249;5.59134138143492
11;r312;r31;r3;364163.5268;5.56129644639379
12;r312;r31;r3;371586.6804;5.57006013822673
0;r321;r32;r3;5073.7831;3.70533189755529
1;r321;r32;r3;3676.6387;3.56545095423498
2;r321;r32;r3;14633.9008;4.16536010672043
3;r321;r32;r3;53148.9789;4.72549492525903
4;r321;r32;r3;101477.3577;5.00636915039785
5;r321;r32;r3;215550.3919;5.3335488167972
6;r321;r32;r3;241415.4087;5.38276498614169
7;r321;r32;r3;298531.9726;5.4749908506418
8;r321;r32;r3;410099.3099;5.61288903847336
9;r321;r32;r3;367948.6995;5.56578727226826
10;r321;r32;r3;371372.2494;5.56980944818479
11;r321;r32;r3;398783.1561;5.60073680619099
12;r321;r32;r3;439270.3022;5.64273184285867
0;r322;r32;r3;2603.966;3.41563530934747
1;r322;r32;r3;5118.7976;3.70916795765321
2;r322;r32;r3;15981.6988;4.20362294145186
3;r322;r32;r3;69970.7442;4.84491649303798
4;r322;r32;r3;124865.9652;5.09644407856549
5;r322;r32;r3;186393.243;5.27043016455764
6;r322;r32;r3;242860.8166;5.3853574509636
7;r322;r32;r3;331905.4632;5.52101440100181
8;r322;r32;r3;344500.8573;5.53719030699893
9;r322;r32;r3;377260.437;5.57664126347429
10;r322;r32;r3;385961.5595;5.58654405252574
11;r322;r32;r3;388404.4433;5.58928418954089
12;r322;r32;r3;430675.2651;5.63414992971697
0;rmean;rmean;rmean;4119.19494166667;3.61481234550989
1;rmean;rmean;rmean;5557.28869166667;3.74486295822882
2;rmean;rmean;rmean;19453.057;4.2889878593331
3;rmean;rmean;rmean;58044.6816916667;4.7637624339321
4;rmean;rmean;rmean;96656.9576416667;4.98523312123706
5;rmean;rmean;rmean;254374.556166667;5.40547366881191
6;rmean;rmean;rmean;431933.10075;5.63541648703484
7;rmean;rmean;rmean;421796.780275;5.62510326029171
8;rmean;rmean;rmean;436713.289083333;5.64019640760201
9;rmean;rmean;rmean;445614.289;5.64895910840974
10;rmean;rmean;rmean;451976.160716667;5.65511552874448
11;rmean;rmean;rmean;447924.550316667;5.65120486636267
12;rmean;rmean;rmean;485726.098466667;5.68639143910316
