t;code1;code2;code3;N;log10N
4;r122;r12;r1;380760.973;5.58065242794946
5;r122;r12;r1;396445.7927;5.59818381324082
6;r122;r12;r1;440053.9593;5.6435059328258
7;r122;r12;r1;546175.0139;5.7373318284043
8;r122;r12;r1;484182.0527;5.68500868729941
9;r122;r12;r1;442291.8765;5.64570896282965
10;r122;r12;r1;427541.5312;5.63097830829207
11;r122;r12;r1;436412.2115;5.63989689432892
12;r122;r12;r1;603057.4176;5.78035866364879
0;r211;r21;r2;29463.6335;4.46928630366394
1;r211;r21;r2;21269.5362;4.3277580198521
2;r211;r21;r2;98342.5408;4.99274142462899
3;r211;r21;r2;147045.0673;5.1674504604628
5;r211;r21;r2;340072.3918;5.53157137590332
6;r211;r21;r2;409088.5086;5.61181728022753
7;r211;r21;r2;556380.5434;5.74537193432907
8;r211;r21;r2;572354.9909;5.75766547419269
9;r211;r21;r2;607588.3429;5.78360943296104
10;r211;r21;r2;549742.6008;5.74015939273341
11;r211;r21;r2;620505.4777;5.79274561971772
12;r211;r21;r2;685993.3246;5.83631988960837
0;r212;r21;r2;8625.5019;3.9357843751724
1;r212;r21;r2;26691.9462;4.42638024082032
2;r212;r21;r2;105664.7885;5.02393028808482
3;r212;r21;r2;110617.9836;5.043825737668
4;r212;r21;r2;343256.3667;5.5356186012534
5;r212;r21;r2;354096.9019;5.54912212700205
6;r212;r21;r2;449005.9576;5.6522521034435
7;r212;r21;r2;529504.7252;5.7238698400226
8;r212;r21;r2;553480.028;5.74310195423753
9;r212;r21;r2;575489.8548;5.76003767193937
10;r212;r21;r2;579286.6578;5.76289352589149
11;r212;r21;r2;604053.2456;5.78107522214939
12;r212;r21;r2;586157.3949;5.76801424837012
0;r221;r22;r2;8802.9231;3.94462690799151
1;r221;r22;r2;25271.7766;4.40263577379389
2;r221;r22;r2;109871.4776;5.04088496513844
3;r221;r22;r2;132404.3389;5.12190221719924
4;r221;r22;r2;328386.9403;5.51638587722808
5;r221;r22;r2;522966.4173;5.71847380120079
6;r221;r22;r2;490775.7812;5.69088312302253
7;r221;r22;r2;524980.2037;5.72014292705177
8;r221;r22;r2;527642.745;5.72233997103973
9;r221;r22;r2;539064.6546;5.73164085693453
10;r221;r22;r2;533634.9933;5.72724430085376
11;r221;r22;r2;491165.6086;5.69122794991214
12;r221;r22;r2;665741.276;5.82330548407097
0;r222;r22;r2;9077.5303;3.95796770722424
1;r222;r22;r2;24435.477;4.3880208212216
2;r222;r22;r2;125969.5266;5.10026549725953
3;r222;r22;r2;154703.4639;5.18950003791277
4;r222;r22;r2;368605.3178;5.56656159641354
5;r222;r22;r2;408267.5591;5.61094487229725
6;r222;r22;r2;507381.185;5.70533435842733
7;r222;r22;r2;473171.5831;5.67501865465107
8;r222;r22;r2;548619.9695;5.73927161166409
9;r222;r22;r2;580342.2382;5.76368418033469
10;r222;r22;r2;555479.5943;5.74466810963929
11;r222;r22;r2;550516.6994;5.74077049741726
12;r222;r22;r2;620549.4562;5.79277639937035
0;r311;r31;r3;5517.2418;3.74172201787192
1;r311;r31;r3;19229.5698;4.28396956839989
2;r311;r31;r3;92455.2008;4.96593134616272
3;r311;r31;r3;96893.7428;4.98629573210572
4;r311;r31;r3;185038.3351;5.26726171217428
5;r311;r31;r3;227162.6714;5.35633696728144
6;r311;r31;r3;234810.5678;5.37071763871675
7;r311;r31;r3;390533.8737;5.59165870920685
8;r311;r31;r3;360370.4437;5.55674916448136
9;r311;r31;r3;400829.4792;5.60295965443377
10;r311;r31;r3;435364.9183;5.63885343067072
11;r311;r31;r3;467583.7119;5.66985937427091
12;r311;r31;r3;475971.9931;5.67758139893904
0;r312;r31;r3;6317.9442;3.80057578590292
1;r312;r31;r3;20863.6524;4.31939033852559
2;r312;r31;r3;77270.5787;4.88801416480457
3;r312;r31;r3;114465.3102;5.05867388954601
4;r312;r31;r3;224208.4776;5.35065202978122
5;r312;r31;r3;262840.7064;5.41969262571225
6;r312;r31;r3;237359.8666;5.37540728922848
7;r312;r31;r3;379241.0276;5.57891531467985
8;r312;r31;r3;332694.4882;5.52204560590593
9;r312;r31;r3;370619.9988;5.56892885031517
10;r312;r31;r3;417399.8979;5.62055233849687
11;r312;r31;r3;414203.8689;5.61721415113414
12;r312;r31;r3;454484.8711;5.65751943099661
0;r321;r32;r3;7168.8405;3.85544891784726
1;r321;r32;r3;17506.8237;4.24320735826543
2;r321;r32;r3;59582.8495;4.77512126914646
3;r321;r32;r3;79632.1916;4.90108866834071
4;r321;r32;r3;216818.3315;5.33609599803578
5;r321;r32;r3;217153.0209;5.33676587537946
6;r321;r32;r3;292322.7036;5.465862546679
7;r321;r32;r3;392510.9328;5.59385175786748
8;r321;r32;r3;339136.5989;5.53037466044344
9;r321;r32;r3;350026.3863;5.54410078432899
10;r321;r32;r3;381337.3563;5.58130935140607
11;r321;r32;r3;415776.8335;5.61886028739227
12;r321;r32;r3;442161.2591;5.64558068827402
0;r322;r32;r3;7211.4536;3.85802281351701
1;r322;r32;r3;17617.9473;4.245955306561
2;r322;r32;r3;84888.1516;4.92884707712461
3;r322;r32;r3;74980.1133;4.87494609233423
4;r322;r32;r3;256571.779;5.40920888548164
5;r322;r32;r3;251595.7941;5.40070337677948
6;r322;r32;r3;290359.1111;5.46293545819222
7;r322;r32;r3;359403.5738;5.55558239128687
8;r322;r32;r3;359095.7707;5.55521029019299
9;r322;r32;r3;393746.9479;5.59521720040953
10;r322;r32;r3;406240.8239;5.60878356432637
11;r322;r32;r3;420596.4919;5.62386564601358
12;r322;r32;r3;428753.8149;5.63220799726692
0;rmean;rmean;rmean;8733.17650833333;3.94117223787753
1;rmean;rmean;rmean;17413.0317333333;4.24087439147518
2;rmean;rmean;rmean;68578.49285;4.83618793639104
3;rmean;rmean;rmean;87194.5008083333;4.94048909566759
4;rmean;rmean;rmean;338393.514466667;5.52942203090856
5;rmean;rmean;rmean;369157.789041667;5.56721203624793
6;rmean;rmean;rmean;393310.120525;5.59473512167446
7;rmean;rmean;rmean;485706.412458333;5.68637383721174
8;rmean;rmean;rmean;464821.853775;5.66728653838136
9;rmean;rmean;rmean;479868.344291667;5.68112210156214
10;rmean;rmean;rmean;481355.749175;5.68246616327088
11;rmean;rmean;rmean;511858.302466667;5.70914975204248
12;rmean;rmean;rmean;553940.720216667;5.74346329133442
