t;code1;code2;code3;N;log10N
0;r111;r11;r1;4242.3805;3.62760961789095
1;r111;r11;r1;10441.8556;4.01877768307535
2;r111;r11;r1;16685.5917;4.22234161209891
3;r111;r11;r1;35613.668;4.55161670577542
4;r111;r11;r1;327305.0386;5.51495269097661
5;r111;r11;r1;552226.638;5.74211735206308
6;r111;r11;r1;464803.9257;5.66726978741723
7;r111;r11;r1;539362.6166;5.73188084206689
8;r111;r11;r1;460571.3391;5.66329690875197
9;r111;r11;r1;529242.1721;5.72365444318854
10;r111;r11;r1;475737.2679;5.67736717414295
11;r111;r11;r1;584822.2632;5.76702389712503
12;r111;r11;r1;568550.1833;5.75476880388462
0;r112;r11;r1;4715.1739;3.67349771455324
1;r112;r11;r1;9109.3136;3.95948565348637
2;r112;r11;r1;17389.3434;4.24028318389228
3;r112;r11;r1;31487.826;4.49814267687038
4;r112;r11;r1;425378.6696;5.62877570863377
5;r112;r11;r1;461121.4482;5.66381532308315
6;r112;r11;r1;467460.3458;5.66974477599855
7;r112;r11;r1;557320.8566;5.74610529594836
8;r112;r11;r1;519589.4827;5.71566035169356
9;r112;r11;r1;540441.4106;5.73274861885858
10;r112;r11;r1;462634.8016;5.66523829936921
11;r112;r11;r1;529504.5369;5.72386968558079
12;r112;r11;r1;542734.5129;5.73458743957366
0;r121;r12;r1;6940.7545;3.84140668333322
1;r121;r12;r1;6768.5599;3.83049627665965
2;r121;r12;r1;18133.966;4.25849279712093
3;r121;r12;r1;38207.5104;4.58214873999756
4;r121;r12;r1;389227.6058;5.59020363483742
5;r121;r12;r1;435944.1267;5.63943083096396
6;r121;r12;r1;436299.534;5.63978474912861
7;r121;r12;r1;579891.9991;5.76334711673116
8;r121;r12;r1;520124.3359;5.71610717428978
9;r121;r12;r1;428736.7696;5.63219073135201
10;r121;r12;r1;551868.5468;5.74183564258772
11;r121;r12;r1;607158.6805;5.78330220847135
12;r121;r12;r1;573133.1389;5.75825552034978
0;r122;r12;r1;6714.7403;3.82702922051062
1;r122;r12;r1;9749.9225;3.98900116360047
2;r122;r12;r1;16687.899;4.22240166261437
3;r122;r12;r1;30282.7937;4.48119593795245
