t;code1;code2;code3;N;log10N
0;r111;r11;r1;17194.7358;4.23539550720173
1;r111;r11;r1;10236.4181;4.01014801605987
2;r111;r11;r1;43111.9242;4.63459740700589
3;r111;r11;r1;160460.987;5.20536945923215
4;r111;r11;r1;118975.9413;5.0754591494849
5;r111;r11;r1;427555.7513;5.63099275275608
6;r111;r11;r1;343663.5219;5.53613343647736
7;r111;r11;r1;465902.1192;5.66829468588238
8;r111;r11;r1;501407.3946;5.7001907345091
9;r111;r11;r1;535219.3528;5.72853180853834
10;r111;r11;r1;588672.6974;5.76987389373048
11;r111;r11;r1;649682.7795;5.81270135550288
12;r111;r11;r1;649764.4271;5.81275593117476
0;r112;r11;r1;10821.2769;4.03427851011477
1;r112;r11;r1;12502.4458;4.0969949804913
2;r112;r11;r1;51316.7101;4.710258806097
3;r112;r11;r1;167897.2777;5.22504365450938
4;r112;r11;r1;147926.3343;5.17004549531605
5;r112;r11;r1;408707.4392;5.61141254271308
6;r112;r11;r1;364359.9237;5.5615306024582
7;r112;r11;r1;440873.8729;5.64431436239727
8;r112;r11;r1;479309.4222;5.68061596637807
9;r112;r11;r1;532830.0061;5.72658867396389
10;r112;r11;r1;561741.8825;5.74953680532627
11;r112;r11;r1;632409.08;5.80099809681613
12;r112;r11;r1;638102.0478;5.80489013836446
0;r121;r12;r1;10574.8743;4.02427521376426
1;r121;r12;r1;10451.1787;4.01916527360862
2;r121;r12;r1;42098.1564;4.62426307724093
3;r121;r12;r1;190118.4748;5.27902432156738
4;r121;r12;r1;121261.3214;5.08372229648679
5;r121;r12;r1;338975.6109;5.53016845208926
6;r121;r12;r1;336637.1174;5.52716199932039
7;r121;r12;r1;434968.2163;5.63845752364468
8;r121;r12;r1;467945.8054;5.67019555867541
9;r121;r12;r1;510334.4371;5.70785487528478
10;r121;r12;r1;524935.0008;5.72010553094594
11;r121;r12;r1;622139.3719;5.79388768640592
12;r121;r12;r1;654895.8909;5.81617226548598
0;r122;r12;r1;8477.4627;3.92826588760143
1;r122;r12;r1;14649.3922;4.16581960628317
2;r122;r12;r1;57267.9463;4.75791160905065
3;r122;r12;r1;334630.1114;5.52456501799659
4;r122;r12;r1;196319.2683;5.2929629267304
5;r122;r12;r1;328332.6027;5.5163140093504
6;r122;r12;r1;323790.1412;5.51026362116961
7;r122;r12;r1;709013.6702;5.85065460871648
8;r122;r12;r1;471970.3177;5.67391468663314
9;r122;r12;r1;598683.7606;5.77719747799292
10;r122;r12;r1;606516.3765;5.78284253171135
11;r122;r12;r1;659620.4821;5.81929413260757
12;r122;r12;r1;696211.6144;5.84274126403267
0;r211;r21;r2;4221.898;3.62550773665229
1;r211;r21;r2;7119.9178;3.85247497970252
2;r211;r21;r2;36261.5283;4.5594461041795
3;r211;r21;r2;117608.4612;5.07043856766089
4;r211;r21;r2;123859.9196;5.09293079376424
5;r211;r21;r2;377632.7954;5.57706970342999
6;r211;r21;r2;414251.2848;5.61726386405742
7;r211;r21;r2;298504.4271;5.47495077650674
8;r211;r21;r2;456139.4834;5.65909766636632
9;r211;r21;r2;383994.3885;5.58432487785375
10;r211;r21;r2;469259.7012;5.67141325973574
11;r211;r21;r2;415142.6753;5.61819737971596
12;r211;r21;r2;518673.6073;5.71489414948656
0;r212;r21;r2;5113.4298;3.70871229809001
1;r212;r21;r2;8997.4836;3.95412106372328
2;r212;r21;r2;40180.1434;4.60401148238031
3;r212;r21;r2;137978.3197;5.13981085180451
4;r212;r21;r2;123801.8622;5.09272717729397
5;r212;r21;r2;446312.5277;5.64963907737295
6;r212;r21;r2;313849.0013;5.49672075101894
7;r212;r21;r2;319575.6829;5.50457372563529
8;r212;r21;r2;509235.5844;5.70691874370235
9;r212;r21;r2;467403.7481;5.66969219066772
10;r212;r21;r2;486481.5587;5.68706638189805
11;r212;r21;r2;615821.569;5.78945489589169
12;r212;r21;r2;602573.4177;5.78000996902196
0;r221;r22;r2;8189.0591;3.91323400540484
1;r221;r22;r2;9505.8272;3.977989915285
2;r221;r22;r2;39545.6557;4.59709878090206
3;r221;r22;r2;182930.4231;5.26228593885915
4;r221;r22;r2;174667.156;5.24221124894995
5;r221;r22;r2;418290.3938;5.62147789095511
6;r221;r22;r2;309117.6767;5.49012384063032
7;r221;r22;r2;387717.7839;5.58851572175135
8;r221;r22;r2;438635.5319;5.64210380901746
9;r221;r22;r2;378970.6581;5.57860558590854
10;r221;r22;r2;407365.48;5.6099842242697
11;r221;r22;r2;500543.6907;5.69944199150921
12;r221;r22;r2;487019.8021;5.68754661987566
0;r222;r22;r2;6155.9202;3.78929298137967
1;r222;r22;r2;9305.1925;3.96872536197221
2;r222;r22;r2;39192.4614;4.59320253928494
3;r222;r22;r2;135752.5979;5.13274814944202
4;r222;r22;r2;170564.198;5.23188787652213
5;r222;r22;r2;386541.2859;5.58719588707961
6;r222;r22;r2;303168.1828;5.48168362057658
7;r222;r22;r2;419059.1245;5.62227530132575
8;r222;r22;r2;531815.7674;5.72576120925223
9;r222;r22;r2;403878.2694;5.60625048665958
10;r222;r22;r2;475041.6622;5.67673169987774
11;r222;r22;r2;459073.9009;5.66188260311822
12;r222;r22;r2;558532.1985;5.74704821456497
0;r311;r31;r3;4221.898;3.62550773665229
1;r311;r31;r3;7119.9178;3.85247497970252
2;r311;r31;r3;35320.1792;4.54802289834193
3;r311;r31;r3;43019.3054;4.63366339388542
4;r311;r31;r3;221668.3135;5.34570361708557
5;r311;r31;r3;381096.8866;5.58103540078486
6;r311;r31;r3;393855.7643;5.59533720599516
7;r311;r31;r3;385278.9025;5.58577522811839
8;r311;r31;r3;452058.703;5.65519483466445
9;r311;r31;r3;684012.9694;5.83506433634797
10;r311;r31;r3;574371.9792;5.7591932446471
11;r311;r31;r3;552527.284;5.74235372850752
12;r311;r31;r3;565817.295;5.75267621814442
0;r312;r31;r3;3211.6145;3.50672341002807
1;r312;r31;r3;10450.802;4.01914961971115
2;r312;r31;r3;46766.244;4.66993249123463
3;r312;r31;r3;67090.7113;4.82666239631807
4;r312;r31;r3;273495.8628;5.43695076110192
5;r312;r31;r3;540348.9802;5.73267433616118
6;r312;r31;r3;450732.4706;5.65391884561135
7;r312;r31;r3;445313.9687;5.64866631838337
8;r312;r31;r3;490004.1311;5.69019974147009
9;r312;r31;r3;660513.144;5.81988146435762
10;r312;r31;r3;660053.676;5.81957925409148
11;r312;r31;r3;641363.9034;5.80710451375374
12;r312;r31;r3;647920.7163;5.81152186608662
0;r321;r32;r3;2800.7867;3.44728003544252
1;r321;r32;r3;11499.7432;4.06068814226073
2;r321;r32;r3;50534.4656;4.7035876774139
3;r321;r32;r3;193536.704;5.28676334058508
4;r321;r32;r3;173206.4451;5.23856404830077
5;r321;r32;r3;326407.5739;5.51376022748628
6;r321;r32;r3;396045.2297;5.59774478665136
7;r321;r32;r3;374007.0098;5.57287974201045
8;r321;r32;r3;384438.4122;5.58482677486812
9;r321;r32;r3;560049.46;5.74822638282147
10;r321;r32;r3;620890.4552;5.79301498359243
11;r321;r32;r3;614307.321;5.78838569104959
12;r321;r32;r3;592231.385;5.77249141887757
0;r322;r32;r3;4301.4267;3.63361252654935
1;r322;r32;r3;10481.0784;4.0204059695823
2;r322;r32;r3;22015.948;4.34273739078599
3;r322;r32;r3;250836.669;5.39939102490301
4;r322;r32;r3;203566.0366;5.30870532107332
5;r322;r32;r3;354671.2134;5.54982594074465
6;r322;r32;r3;364979.2497;5.56226817405385
7;r322;r32;r3;402297.6297;5.60454747375634
8;r322;r32;r3;326963.6159;5.51449942760522
9;r322;r32;r3;566985.553;5.75357199305108
10;r322;r32;r3;620942.768;5.79305157330506
11;r322;r32;r3;616825.8254;5.79016254856092
12;r322;r32;r3;599007.1021;5.77743197161227
