t;code1;code2;code3;N;log10N
0;r111;r11;r1;16948.2861;4.22912578661303
1.5;r111;r11;r1;105120.9418;5.02168924316615
3;r111;r11;r1;209120.8062;5.32039724452652
4.5;r111;r11;r1;429165.4903;5.63262479256968
6;r111;r11;r1;730579.1438;5.86366727003596
7.5;r111;r11;r1;770429.024;5.88673263539063
9;r111;r11;r1;778215.872;5.89110008415434
10.5;r111;r11;r1;925941.0065;5.96658331781836
12;r111;r11;r1;860458.0095;5.9347296815347
13.5;r111;r11;r1;879244.874;5.94410984505835
15;r111;r11;r1;824589.1338;5.91623760749445
0;r112;r11;r1;9177.3533;3.96271745103386
1.5;r112;r11;r1;125944.7121;5.10017993797942
3;r112;r11;r1;184724.0812;5.26652351509675
4.5;r112;r11;r1;557739.9717;5.74643177030593
6;r112;r11;r1;602996.4409;5.78031474878683
7.5;r112;r11;r1;967373.3157;5.98559410351545
9;r112;r11;r1;829975.2874;5.91906516140548
10.5;r112;r11;r1;917395.5984;5.96255665208637
12;r112;r11;r1;968237.0666;5.98598170453055
13.5;r112;r11;r1;855917.1019;5.93243170401034
15;r112;r11;r1;801590.3537;5.90395248227558
0;r121;r12;r1;15632.9306;4.1940403999069
1.5;r121;r12;r1;125333.9088;5.09806858426191
3;r121;r12;r1;214716.2583;5.331864930429
4.5;r121;r12;r1;463585.4738;5.66612981912214
6;r121;r12;r1;630766.569;5.79986866740326
7.5;r121;r12;r1;922082.3793;5.96476972287272
9;r121;r12;r1;758796.9683;5.88012558703843
10.5;r121;r12;r1;867736.2786;5.93838775495605
12;r121;r12;r1;917557.5752;5.96263332503
13.5;r121;r12;r1;864502.4393;5.93676622302699
15;r121;r12;r1;972186.9471;5.98774978579787
0;r122;r12;r1;8676.826;3.93836088845128
1.5;r122;r12;r1;105940.4316;5.0250617379135
3;r122;r12;r1;194661.5955;5.28928027865102
4.5;r122;r12;r1;466562.4102;5.66890974581579
6;r122;r12;r1;761710.5737;5.88178998430244
7.5;r122;r12;r1;744363.3725;5.87178499488257
9;r122;r12;r1;907061.7117;5.95763683517372
10.5;r122;r12;r1;975844.045;5.98938041622425
12;r122;r12;r1;882246.107;5.945589750668
13.5;r122;r12;r1;934850.4859;5.97074215810159
15;r122;r12;r1;816752.1389;5.91209028047377
1;r211;r21;r2;15934.4712;4.20233765558932
2;r211;r21;r2;68680.1561;4.83683127357816
3;r211;r21;r2;84375.9469;4.9262186596896
4;r211;r21;r2;141630.3323;5.15115627411503
5;r211;r21;r2;304739.4052;5.48392861554338
6;r211;r21;r2;239068.2984;5.37852199040792
7;r211;r21;r2;385582.9387;5.58611780896427
8;r211;r21;r2;235782.6643;5.37251187083703
9;r211;r21;r2;436689.2672;5.64017251811072
10;r211;r21;r2;313233.4422;5.49586812307806
11;r211;r21;r2;354286.6596;5.54935479960616
12;r211;r21;r2;340727.4092;5.53240707100702
0;r212;r21;r2;8468.7988;3.92782181510915
1;r212;r21;r2;19906.6706;4.29899863014502
2;r212;r21;r2;56638.073;4.75310846891012
3;r212;r21;r2;84397.7949;4.92633109976224
4;r212;r21;r2;193982.6112;5.28776280107273
5;r212;r21;r2;265425.0844;5.42394196412641
6;r212;r21;r2;473135.8446;5.6749858512874
7;r212;r21;r2;383210.2605;5.58343712884825
8;r212;r21;r2;290998.4958;5.46389074408059
9;r212;r21;r2;338091.5658;5.52903433677521
10;r212;r21;r2;294675.3229;5.46934376809597
11;r212;r21;r2;447910.6834;5.65119142119962
12;r212;r21;r2;491591.7396;5.691604576663
0;r221;r22;r2;8424.7731;3.92555821307514
1;r221;r22;r2;25885.0755;4.41304943604322
2;r221;r22;r2;94419.4995;4.97506169398801
3;r221;r22;r2;96704.503;4.98544669727349
4;r221;r22;r2;238060.3222;5.37668701705318
5;r221;r22;r2;323167.1896;5.50942726144971
