t;code1;code2;code3;N;log10N
6;r221;r22;r2;381349.6929;5.58132340098856
7;r221;r22;r2;442593.37;5.6460049039564
8;r221;r22;r2;421121.2215;5.6244071273099
9;r221;r22;r2;383266.2932;5.58350062640037
10;r221;r22;r2;438274.8039;5.64174650409743
11;r221;r22;r2;470155.5179;5.67224153749753
12;r221;r22;r2;485886.7176;5.68653502717194
0;r222;r22;r2;7046.887;3.84799730744591
1;r222;r22;r2;17842.3606;4.25145231235696
2;r222;r22;r2;68470.6692;4.83550457247732
3;r222;r22;r2;88343.7202;4.94617568367393
4;r222;r22;r2;297833.73;5.47397388053284
5;r222;r22;r2;268378.5249;5.42874776153212
6;r222;r22;r2;433753.6254;5.63724311773469
7;r222;r22;r2;445487.4346;5.6488354588536
8;r222;r22;r2;453373.9172;5.65645653135744
9;r222;r22;r2;399715.7001;5.60175120688629
10;r222;r22;r2;466613.9697;5.66895773675693
11;r222;r22;r2;433750.3294;5.6372398176123
12;r222;r22;r2;474679.0036;5.67640002206526
0;r311;r31;r3;6016.6861;3.77935735425483
1;r311;r31;r3;12882.385;4.109996274239
2;r311;r31;r3;38683.0349;4.58752053957379
3;r311;r31;r3;80630.2797;4.90649816633483
4;r311;r31;r3;216331.0355;5.33511882909933
5;r311;r31;r3;259471.8236;5.41409020411348
6;r311;r31;r3;400175.1681;5.60225013604498
7;r311;r31;r3;478815.0632;5.68016780456173
8;r311;r31;r3;544503.5448;5.73600071142342
9;r311;r31;r3;499618.916;5.69863887277436
10;r311;r31;r3;526414.1225;5.72132753190063
11;r311;r31;r3;546845.6639;5.73786477281561
12;r311;r31;r3;502690.4018;5.70130059303573
0;r312;r31;r3;6480.6273;3.81161704595436
1;r312;r31;r3;15631.9418;4.19401292943599
2;r312;r31;r3;50735.9478;4.70531577785663
3;r312;r31;r3;132328.53;5.121653488071
4;r312;r31;r3;256481.75;5.40905646825379
5;r312;r31;r3;310273.6922;5.49174495374489
6;r312;r31;r3;452047.1198;5.65518370649844
7;r312;r31;r3;564044.0725;5.7513130396141
8;r312;r31;r3;464559.7362;5.66704156641145
9;r312;r31;r3;522942.4974;5.71845393660181
10;r312;r31;r3;478895.675;5.68024091486237
11;r312;r31;r3;578641.8581;5.76240984667167
12;r312;r31;r3;603737.1553;5.78084790410462
0;r321;r32;r3;12024.7083;4.08007454989103
1;r321;r32;r3;20213.0611;4.30563208878343
2;r321;r32;r3;57178.294;4.75723119338925
3;r321;r32;r3;122045.261;5.08652092048809
4;r321;r32;r3;249207.4833;5.39656107934789
5;r321;r32;r3;322389.23;5.50838052497642
6;r321;r32;r3;495971.9887;5.69545714927942
7;r321;r32;r3;522588.3614;5.71815973329785
8;r321;r32;r3;518896.1371;5.71508043762035
9;r321;r32;r3;556561.6373;5.74551326796442
10;r321;r32;r3;551958.9054;5.74190674471764
11;r321;r32;r3;559572.4288;5.74785630783014
12;r321;r32;r3;522281.8297;5.71790491689904
0;r322;r32;r3;9893.0649;3.99533085812415
1;r322;r32;r3;11489.0076;4.06028251672505
2;r322;r32;r3;42417.3543;4.62754357675141
3;r322;r32;r3;108379.831;5.03494846946817
4;r322;r32;r3;254826.3374;5.40624431218911
5;r322;r32;r3;336842.2253;5.52742652779594
6;r322;r32;r3;412281.8065;5.61519417033133
7;r322;r32;r3;511121.249;5.70852393638787
8;r322;r32;r3;516516.1135;5.71308387453904
9;r322;r32;r3;453536.1295;5.65661188945011
10;r322;r32;r3;478035.4085;5.67946006637494
11;r322;r32;r3;543849.6104;5.73547882175136
12;r322;r32;r3;549226.2526;5.73975128800904
